site_id,domain,year,third_party_script_count,third_party_domain_count,third_party_resource_count,script_norm,domain_norm,tdi
S000004,bing.com,2022,0,0,0,0.0,0.0,0.0
S000004,bing.com,2024,0,0,0,0.0,0.0,0.0
S000004,bing.com,2026,0,0,0,0.0,0.0,0.0
S000008,vimeo.com,2022,10,1,22,0.2702702702702703,0.027777777777777776,0.14902402402402404
S000008,vimeo.com,2024,19,5,49,0.5135135135135135,0.1388888888888889,0.3262012012012012
S000008,vimeo.com,2026,21,6,85,0.5675675675675675,0.16666666666666666,0.3671171171171171
S000009,nginx.org,2022,0,0,0,0.0,0.0,0.0
S000009,nginx.org,2024,0,0,0,0.0,0.0,0.0
S000009,nginx.org,2026,0,0,0,0.0,0.0,0.0
S000010,baidu.com,2022,9,2,24,0.24324324324324326,0.05555555555555555,0.1493993993993994
S000010,baidu.com,2024,9,2,27,0.24324324324324326,0.05555555555555555,0.1493993993993994
S000010,baidu.com,2026,10,2,32,0.2702702702702703,0.05555555555555555,0.16291291291291293
S000101,yandex.com.tr,2022,3,2,13,0.08108108108108109,0.05555555555555555,0.06831831831831832
S000101,yandex.com.tr,2024,3,7,21,0.08108108108108109,0.19444444444444445,0.13776276276276278
S000101,yandex.com.tr,2026,11,7,29,0.2972972972972973,0.19444444444444445,0.2458708708708709
S000102,espncricinfo.com,2022,18,4,130,0.4864864864864865,0.1111111111111111,0.2987987987987988
S000102,espncricinfo.com,2024,21,3,140,0.5675675675675675,0.08333333333333333,0.32545045045045046
S000102,espncricinfo.com,2026,22,5,114,0.5945945945945946,0.1388888888888889,0.3667417417417418
S000103,hotpepper.jp,2022,2,1,26,0.05405405405405406,0.027777777777777776,0.04091591591591592
S000103,hotpepper.jp,2024,2,1,26,0.05405405405405406,0.027777777777777776,0.04091591591591592
S000103,hotpepper.jp,2026,2,1,24,0.05405405405405406,0.027777777777777776,0.04091591591591592
S000104,gazzetta.it,2022,7,7,161,0.1891891891891892,0.19444444444444445,0.19181681681681684
S000104,gazzetta.it,2024,6,7,146,0.16216216216216217,0.19444444444444445,0.1783033033033033
S000104,gazzetta.it,2026,6,8,172,0.16216216216216217,0.2222222222222222,0.1921921921921922
S000105,neal.fun,2022,1,1,1,0.02702702702702703,0.027777777777777776,0.027402402402402402
S000105,neal.fun,2024,1,1,1,0.02702702702702703,0.027777777777777776,0.027402402402402402
S000105,neal.fun,2026,1,1,1,0.02702702702702703,0.027777777777777776,0.027402402402402402
S000106,arca.live,2022,0,0,0,0.0,0.0,0.0
S000106,arca.live,2024,0,0,0,0.0,0.0,0.0
S000106,arca.live,2026,0,0,0,0.0,0.0,0.0
S000108,okxxx1.com,2024,17,5,21,0.4594594594594595,0.1388888888888889,0.2991741741741742
S000108,okxxx1.com,2026,22,10,30,0.5945945945945946,0.2777777777777778,0.4361861861861862
S000109,triunfobet.com,2022,1,3,37,0.02702702702702703,0.08333333333333333,0.05518018018018018
S000109,triunfobet.com,2024,1,3,18,0.02702702702702703,0.08333333333333333,0.05518018018018018
S000109,triunfobet.com,2026,3,6,66,0.08108108108108109,0.16666666666666666,0.12387387387387387
S000110,sky.com,2022,1,3,19,0.02702702702702703,0.08333333333333333,0.05518018018018018
S000110,sky.com,2024,0,4,5,0.0,0.1111111111111111,0.05555555555555555
S000110,sky.com,2026,1,4,16,0.02702702702702703,0.1111111111111111,0.06906906906906907
S000111,cctv.com,2022,13,2,408,0.35135135135135137,0.05555555555555555,0.20345345345345345
S000111,cctv.com,2024,13,2,314,0.35135135135135137,0.05555555555555555,0.20345345345345345
S000111,cctv.com,2026,13,2,287,0.35135135135135137,0.05555555555555555,0.20345345345345345
S000112,pcmag.com,2022,5,11,29,0.13513513513513514,0.3055555555555556,0.22034534534534536
S000112,pcmag.com,2024,7,8,18,0.1891891891891892,0.2222222222222222,0.2057057057057057
S000112,pcmag.com,2026,9,9,21,0.24324324324324326,0.25,0.24662162162162163
S000113,match.com,2022,3,19,21,0.08108108108108109,0.5277777777777778,0.3044294294294294
S000113,match.com,2024,3,19,20,0.08108108108108109,0.5277777777777778,0.3044294294294294
S000113,match.com,2026,0,16,17,0.0,0.4444444444444444,0.2222222222222222
S000114,qunar.com,2022,8,1,54,0.21621621621621623,0.027777777777777776,0.12199699699699701
